Front	Back	Tags
녹색조달 활용를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 녹색조달 활용<br><b>연결 범위</b>: 전략적 조달의 활용<br><b>암기 문장</b>: 친환경을 실제 구매 기준에 넣는 방식이다.	chapter_5 green_practice keyword_anchor
녹색조달 활용 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 친환경을 실제 구매 기준에 넣는 방식이다."	chapter_5 green_practice choice_elimination
기술개발 촉진조달이란?	기술개발 촉진조달은 공공수요와 구매 제도를 활용해 기업의 기술개발과 혁신 제품 확산을 유도한다.<br><br><b>쉬운 말</b>: 공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다.<br><b>출처</b>: 공공조달의 이해 제5장 제4절	chapter_5 tech_development definition
기술개발 촉진조달에서 조심할 오답 함정은?	기술개발 촉진조달은 연구개발 보조금과 같은 개념으로만 보면 부족하다.<br><br><b>복습 힌트</b>: 공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다.	chapter_5 tech_development trap
기술개발 촉진조달를 10초 안에 쉬운 말로 설명하면?	공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다.<br><br><b>시험 포인트</b>: 기술개발 촉진조달은 공공수요와 구매 제도를 활용해 기업의 기술개발과 혁신 제품 확산을 유도한다.	chapter_5 tech_development adhd_short
공공조달의 이해 제5장 제4절의 핵심 키워드는?	<b>기술개발 촉진조달</b><br>전략적 조달의 활용<br>chapter_5, tech_development	chapter_5 tech_development source_map
"시험장에서 ""기술개발 촉진조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다.<br><br><b>왜 중요한가</b>: 기술개발 촉진조달은 공공수요와 구매 제도를 활용해 기업의 기술개발과 혁신 제품 확산을 유도한다.	chapter_5 tech_development exam_trigger
"다음 표현이 왜 위험할까?<br>""기술개발 촉진조달은 연구개발 보조금과 같은 개념으로만 보면 부족하다."""	<b>위험한 이유</b>: 이 표현은 기술개발 촉진조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 기술개발 촉진조달은 공공수요와 구매 제도를 활용해 기업의 기술개발과 혁신 제품 확산을 유도한다.	chapter_5 tech_development wrong_phrase
기술개발 촉진조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 기술개발 촉진조달<br><b>연결 범위</b>: 전략적 조달의 활용<br><b>암기 문장</b>: 공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다.	chapter_5 tech_development keyword_anchor
기술개발 촉진조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 공공구매가 기업의 기술개발을 밀어주는 역할을 하는 것이다."	chapter_5 tech_development choice_elimination
사회적 책임조달 활용이란?	사회적 책임조달 활용은 구매 기준과 계약 이행 과정에 사회적 가치 요소를 반영하는 실무적 적용이다.<br><br><b>쉬운 말</b>: 사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다.<br><b>출처</b>: 공공조달의 이해 제5장 제5절	chapter_5 social_practice definition
사회적 책임조달 활용에서 조심할 오답 함정은?	사회적 책임 요소가 있다고 해서 기본 계약 원칙이 사라지는 것은 아니다.<br><br><b>복습 힌트</b>: 사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다.	chapter_5 social_practice trap
사회적 책임조달 활용를 10초 안에 쉬운 말로 설명하면?	사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다.<br><br><b>시험 포인트</b>: 사회적 책임조달 활용은 구매 기준과 계약 이행 과정에 사회적 가치 요소를 반영하는 실무적 적용이다.	chapter_5 social_practice adhd_short
공공조달의 이해 제5장 제5절의 핵심 키워드는?	<b>사회적 책임조달 활용</b><br>전략적 조달의 활용<br>chapter_5, social_practice	chapter_5 social_practice source_map
"시험장에서 ""사회적 책임조달 활용""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다.<br><br><b>왜 중요한가</b>: 사회적 책임조달 활용은 구매 기준과 계약 이행 과정에 사회적 가치 요소를 반영하는 실무적 적용이다.	chapter_5 social_practice exam_trigger
"다음 표현이 왜 위험할까?<br>""사회적 책임 요소가 있다고 해서 기본 계약 원칙이 사라지는 것은 아니다."""	<b>위험한 이유</b>: 이 표현은 사회적 책임조달 활용의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 사회적 책임조달 활용은 구매 기준과 계약 이행 과정에 사회적 가치 요소를 반영하는 실무적 적용이다.	chapter_5 social_practice wrong_phrase
사회적 책임조달 활용를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 사회적 책임조달 활용<br><b>연결 범위</b>: 전략적 조달의 활용<br><b>암기 문장</b>: 사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다.	chapter_5 social_practice keyword_anchor
사회적 책임조달 활용 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 사회적 가치를 말로만 두지 않고 구매와 계약 기준에 넣는 것이다."	chapter_5 social_practice choice_elimination
국가계약법과 지방계약법이란?	국가계약법은 국가기관 계약, 지방계약법은 지방자치단체 계약에 적용되는 기본 법령으로 적용 주체와 세부 규율이 다르다.<br><br><b>쉬운 말</b>: 국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다.<br><b>출처</b>: 공공조달의 이해 제6장 제1절·제6절	chapter_6 law state_local definition
국가계약법과 지방계약법에서 조심할 오답 함정은?	공공계약이면 모두 같은 법을 적용한다고 보면 안 된다.<br><br><b>복습 힌트</b>: 국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다.	chapter_6 law state_local trap
국가계약법과 지방계약법를 10초 안에 쉬운 말로 설명하면?	국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다.<br><br><b>시험 포인트</b>: 국가계약법은 국가기관 계약, 지방계약법은 지방자치단체 계약에 적용되는 기본 법령으로 적용 주체와 세부 규율이 다르다.	chapter_6 law state_local adhd_short
공공조달의 이해 제6장 제1절·제6절의 핵심 키워드는?	<b>국가계약법과 지방계약법</b><br>공공조달 법률 이해<br>chapter_6, law, state_local	chapter_6 law state_local source_map
"시험장에서 ""국가계약법과 지방계약법""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다.<br><br><b>왜 중요한가</b>: 국가계약법은 국가기관 계약, 지방계약법은 지방자치단체 계약에 적용되는 기본 법령으로 적용 주체와 세부 규율이 다르다.	chapter_6 law state_local exam_trigger
"다음 표현이 왜 위험할까?<br>""공공계약이면 모두 같은 법을 적용한다고 보면 안 된다."""	<b>위험한 이유</b>: 이 표현은 국가계약법과 지방계약법의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 국가계약법은 국가기관 계약, 지방계약법은 지방자치단체 계약에 적용되는 기본 법령으로 적용 주체와 세부 규율이 다르다.	chapter_6 law state_local wrong_phrase
국가계약법과 지방계약법를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 국가계약법과 지방계약법<br><b>연결 범위</b>: 공공조달 법률 이해<br><b>암기 문장</b>: 국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다.	chapter_6 law state_local keyword_anchor
국가계약법과 지방계약법 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 국가기관 계약과 지방자치단체 계약은 비슷해 보여도 적용 법이 다르다."	chapter_6 law state_local choice_elimination
민법과 공공계약이란?	공공계약도 계약의 성립과 효력 등 기본 법리는 민법 규정과 연결되지만, 공법적 절차와 특별 법령의 제한을 함께 받는다.<br><br><b>쉬운 말</b>: 계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다.<br><b>출처</b>: 공공조달의 이해 제6장 제2절	chapter_6 civil_law definition
민법과 공공계약에서 조심할 오답 함정은?	공공계약을 순수한 사적 계약으로만 보면 법령상 절차 제한을 놓친다.<br><br><b>복습 힌트</b>: 계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다.	chapter_6 civil_law trap
민법과 공공계약를 10초 안에 쉬운 말로 설명하면?	계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다.<br><br><b>시험 포인트</b>: 공공계약도 계약의 성립과 효력 등 기본 법리는 민법 규정과 연결되지만, 공법적 절차와 특별 법령의 제한을 함께 받는다.	chapter_6 civil_law adhd_short
공공조달의 이해 제6장 제2절의 핵심 키워드는?	<b>민법과 공공계약</b><br>공공조달 법률 이해<br>chapter_6, civil_law	chapter_6 civil_law source_map
"시험장에서 ""민법과 공공계약""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다.<br><br><b>왜 중요한가</b>: 공공계약도 계약의 성립과 효력 등 기본 법리는 민법 규정과 연결되지만, 공법적 절차와 특별 법령의 제한을 함께 받는다.	chapter_6 civil_law exam_trigger
"다음 표현이 왜 위험할까?<br>""공공계약을 순수한 사적 계약으로만 보면 법령상 절차 제한을 놓친다."""	<b>위험한 이유</b>: 이 표현은 민법과 공공계약의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공계약도 계약의 성립과 효력 등 기본 법리는 민법 규정과 연결되지만, 공법적 절차와 특별 법령의 제한을 함께 받는다.	chapter_6 civil_law wrong_phrase
민법과 공공계약를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 민법과 공공계약<br><b>연결 범위</b>: 공공조달 법률 이해<br><b>암기 문장</b>: 계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다.	chapter_6 civil_law keyword_anchor
민법과 공공계약 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 계약의 기본 원리는 민법에서 오지만 공공계약은 추가 규칙이 많다."	chapter_6 civil_law choice_elimination
조달사업법령이란?	조달사업법령은 조달사업의 범위, 조달청 기능, 수요기관 지원 등 조달 행정의 제도적 기반을 규율한다.<br><br><b>쉬운 말</b>: 조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다.<br><b>출처</b>: 공공조달의 이해 제6장 제3절	chapter_6 procurement_business_act definition
조달사업법령에서 조심할 오답 함정은?	조달사업법령을 계약 체결 방식만 정하는 법으로 좁히면 안 된다.<br><br><b>복습 힌트</b>: 조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다.	chapter_6 procurement_business_act trap
조달사업법령를 10초 안에 쉬운 말로 설명하면?	조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다.<br><br><b>시험 포인트</b>: 조달사업법령은 조달사업의 범위, 조달청 기능, 수요기관 지원 등 조달 행정의 제도적 기반을 규율한다.	chapter_6 procurement_business_act adhd_short
공공조달의 이해 제6장 제3절의 핵심 키워드는?	<b>조달사업법령</b><br>공공조달 법률 이해<br>chapter_6, procurement_business_act	chapter_6 procurement_business_act source_map
"시험장에서 ""조달사업법령""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다.<br><br><b>왜 중요한가</b>: 조달사업법령은 조달사업의 범위, 조달청 기능, 수요기관 지원 등 조달 행정의 제도적 기반을 규율한다.	chapter_6 procurement_business_act exam_trigger
"다음 표현이 왜 위험할까?<br>""조달사업법령을 계약 체결 방식만 정하는 법으로 좁히면 안 된다."""	<b>위험한 이유</b>: 이 표현은 조달사업법령의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 조달사업법령은 조달사업의 범위, 조달청 기능, 수요기관 지원 등 조달 행정의 제도적 기반을 규율한다.	chapter_6 procurement_business_act wrong_phrase
조달사업법령를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 조달사업법령<br><b>연결 범위</b>: 공공조달 법률 이해<br><b>암기 문장</b>: 조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다.	chapter_6 procurement_business_act keyword_anchor
조달사업법령 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 조달청이 어떤 조달 업무를 어떻게 지원하는지의 근거가 되는 법령이다."	chapter_6 procurement_business_act choice_elimination
전자조달법령이란?	전자조달법령은 전자적 조달 절차, 전자문서, 시스템 이용 등 전자조달 운영의 법적 기반을 정한다.<br><br><b>쉬운 말</b>: 온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다.<br><b>출처</b>: 공공조달의 이해 제6장 제4절	chapter_6 e_procurement_law definition
전자조달법령에서 조심할 오답 함정은?	전자조달법령은 단순 전산 시스템 설치 기준만 의미하지 않는다.<br><br><b>복습 힌트</b>: 온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다.	chapter_6 e_procurement_law trap
전자조달법령를 10초 안에 쉬운 말로 설명하면?	온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다.<br><br><b>시험 포인트</b>: 전자조달법령은 전자적 조달 절차, 전자문서, 시스템 이용 등 전자조달 운영의 법적 기반을 정한다.	chapter_6 e_procurement_law adhd_short
공공조달의 이해 제6장 제4절의 핵심 키워드는?	<b>전자조달법령</b><br>공공조달 법률 이해<br>chapter_6, e_procurement_law	chapter_6 e_procurement_law source_map
"시험장에서 ""전자조달법령""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다.<br><br><b>왜 중요한가</b>: 전자조달법령은 전자적 조달 절차, 전자문서, 시스템 이용 등 전자조달 운영의 법적 기반을 정한다.	chapter_6 e_procurement_law exam_trigger
"다음 표현이 왜 위험할까?<br>""전자조달법령은 단순 전산 시스템 설치 기준만 의미하지 않는다."""	<b>위험한 이유</b>: 이 표현은 전자조달법령의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 전자조달법령은 전자적 조달 절차, 전자문서, 시스템 이용 등 전자조달 운영의 법적 기반을 정한다.	chapter_6 e_procurement_law wrong_phrase
전자조달법령를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 전자조달법령<br><b>연결 범위</b>: 공공조달 법률 이해<br><b>암기 문장</b>: 온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다.	chapter_6 e_procurement_law keyword_anchor
전자조달법령 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 온라인 조달 절차가 법적으로 효력을 갖도록 받쳐주는 규칙이다."	chapter_6 e_procurement_law choice_elimination
법규 해석과 분쟁이란?	공공조달 분쟁은 입찰, 계약 체결, 이행, 제재 과정에서 법규 해석과 절차 적정성을 둘러싸고 발생할 수 있다.<br><br><b>쉬운 말</b>: 입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다.<br><b>출처</b>: 공공조달의 이해 제7장 제1절	chapter_7 dispute definition
법규 해석과 분쟁에서 조심할 오답 함정은?	분쟁을 계약 이행 단계에서만 발생한다고 보면 범위가 좁다.<br><br><b>복습 힌트</b>: 입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다.	chapter_7 dispute trap
법규 해석과 분쟁를 10초 안에 쉬운 말로 설명하면?	입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다.<br><br><b>시험 포인트</b>: 공공조달 분쟁은 입찰, 계약 체결, 이행, 제재 과정에서 법규 해석과 절차 적정성을 둘러싸고 발생할 수 있다.	chapter_7 dispute adhd_short
공공조달의 이해 제7장 제1절의 핵심 키워드는?	<b>법규 해석과 분쟁</b><br>공공조달 분쟁관리<br>chapter_7, dispute	chapter_7 dispute source_map
"시험장에서 ""법규 해석과 분쟁""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다.<br><br><b>왜 중요한가</b>: 공공조달 분쟁은 입찰, 계약 체결, 이행, 제재 과정에서 법규 해석과 절차 적정성을 둘러싸고 발생할 수 있다.	chapter_7 dispute exam_trigger
"다음 표현이 왜 위험할까?<br>""분쟁을 계약 이행 단계에서만 발생한다고 보면 범위가 좁다."""	<b>위험한 이유</b>: 이 표현은 법규 해석과 분쟁의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달 분쟁은 입찰, 계약 체결, 이행, 제재 과정에서 법규 해석과 절차 적정성을 둘러싸고 발생할 수 있다.	chapter_7 dispute wrong_phrase
법규 해석과 분쟁를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 법규 해석과 분쟁<br><b>연결 범위</b>: 공공조달 분쟁관리<br><b>암기 문장</b>: 입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다.	chapter_7 dispute keyword_anchor
법규 해석과 분쟁 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 입찰부터 계약 후 제재까지 어느 단계에서든 규칙 해석 다툼이 생길 수 있다."	chapter_7 dispute choice_elimination
제재와 책임이란?	공공조달 법규 위반 시 입찰참가자격 제한, 계약상 책임, 행정상 제재 등 다양한 불이익이 발생할 수 있다.<br><br><b>쉬운 말</b>: 규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다.<br><b>출처</b>: 공공조달의 이해 제7장 제2절	chapter_7 sanction definition
제재와 책임에서 조심할 오답 함정은?	제재를 단순 벌금이나 형사처벌 하나로만 이해하면 틀리기 쉽다.<br><br><b>복습 힌트</b>: 규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다.	chapter_7 sanction trap
제재와 책임를 10초 안에 쉬운 말로 설명하면?	규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다.<br><br><b>시험 포인트</b>: 공공조달 법규 위반 시 입찰참가자격 제한, 계약상 책임, 행정상 제재 등 다양한 불이익이 발생할 수 있다.	chapter_7 sanction adhd_short
공공조달의 이해 제7장 제2절의 핵심 키워드는?	<b>제재와 책임</b><br>공공조달 분쟁관리<br>chapter_7, sanction	chapter_7 sanction source_map
"시험장에서 ""제재와 책임""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다.<br><br><b>왜 중요한가</b>: 공공조달 법규 위반 시 입찰참가자격 제한, 계약상 책임, 행정상 제재 등 다양한 불이익이 발생할 수 있다.	chapter_7 sanction exam_trigger
"다음 표현이 왜 위험할까?<br>""제재를 단순 벌금이나 형사처벌 하나로만 이해하면 틀리기 쉽다."""	<b>위험한 이유</b>: 이 표현은 제재와 책임의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달 법규 위반 시 입찰참가자격 제한, 계약상 책임, 행정상 제재 등 다양한 불이익이 발생할 수 있다.	chapter_7 sanction wrong_phrase
제재와 책임를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 제재와 책임<br><b>연결 범위</b>: 공공조달 분쟁관리<br><b>암기 문장</b>: 규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다.	chapter_7 sanction keyword_anchor
제재와 책임 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 규칙을 어기면 다음 입찰 참여 제한이나 계약 책임 같은 결과가 뒤따를 수 있다."	chapter_7 sanction choice_elimination
